rank_approx,school_name,city,state,public_private,admissions_homepage_url,common_data_set_url,catalog_programs_url,deadlines_url,url_verification_status,rank_confidence
1,Princeton University,Princeton,NJ,Private,https://admission.princeton.edu/,https://ir.princeton.edu/other-university-data/common-data-set,https://ua.princeton.edu/academic-units/concentrations,https://admission.princeton.edu/apply/first-year-application-deadlines,"라이브 검증(2026-09-19, WebSearch)","높음(학습데이터 기반, 라이브 미검증)"
2,Massachusetts Institute of Technology,Cambridge,MA,Private,https://mitadmissions.org/,https://ir.mit.edu/project-topic/common-data-set/,https://catalog.mit.edu/degree-charts/,https://mitadmissions.org/apply/dates-deadlines/,"라이브 검증(2026-09-19, WebSearch)","높음(학습데이터 기반, 라이브 미검증)"
3,Harvard University,Cambridge,MA,Private,https://college.harvard.edu/admissions,https://oir.harvard.edu/common-data-set,https://college.harvard.edu/academics/fields-study,https://college.harvard.edu/admissions/apply/first-year-applicants,"라이브 검증(2026-09-19, WebSearch)","높음(학습데이터 기반, 라이브 미검증)"
3,Stanford University,Stanford,CA,Private,https://admission.stanford.edu/,https://irds.stanford.edu/data-findings/undergraduate-admission,https://bulletin.stanford.edu/,https://admission.stanford.edu/apply/deadlines.html,"라이브 검증(2026-09-19, WebSearch, CDS는 IRDS 페이지로 대체 확인)","높음(학습데이터 기반, 라이브 미검증)"
5,Yale University,New Haven,CT,Private,https://admissions.yale.edu/,https://oir.yale.edu/common-data-set,https://catalog.yale.edu/ycps/,https://admissions.yale.edu/dates-deadlines,"라이브 검증(2026-09-19, WebSearch)","높음(학습데이터 기반, 라이브 미검증)"
6,University of Pennsylvania,Philadelphia,PA,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
7,California Institute of Technology,Pasadena,CA,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
7,Duke University,Durham,NC,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
9,Brown University,Providence,RI,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
9,Johns Hopkins University,Baltimore,MD,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
9,Northwestern University,Evanston,IL,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
12,Columbia University,New York,NY,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
12,Cornell University,Ithaca,NY,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
12,University of Chicago,Chicago,IL,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
15,"University of California, Berkeley",Berkeley,CA,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
15,"University of California, Los Angeles",Los Angeles,CA,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
17,Rice University,Houston,TX,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
18,University of Notre Dame,Notre Dame,IN,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
18,Vanderbilt University,Nashville,TN,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
20,Carnegie Mellon University,Pittsburgh,PA,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
20,"University of Michigan, Ann Arbor",Ann Arbor,MI,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
22,Georgetown University,Washington,DC,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
22,University of Virginia,Charlottesville,VA,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
24,Emory University,Atlanta,GA,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
24,"University of California, San Diego",San Diego,CA,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
24,University of Southern California,Los Angeles,CA,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
27,University of Florida,Gainesville,FL,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
27,University of North Carolina at Chapel Hill,Chapel Hill,NC,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
29,University of Texas at Austin,Austin,TX,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
30,Georgia Institute of Technology,Atlanta,GA,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
30,"University of California, Davis",Davis,CA,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
30,University of Illinois Urbana-Champaign,Champaign,IL,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
33,"University of California, Irvine",Irvine,CA,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
34,University of Wisconsin-Madison,Madison,WI,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
35,Boston College,Chestnut Hill,MA,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
35,University of Washington,Seattle,WA,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
37,Tufts University,Medford,MA,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
38,"University of California, Santa Barbara",Santa Barbara,CA,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
39,Boston University,Boston,MA,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
39,Ohio State University,Columbus,OH,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
39,Rutgers University-New Brunswick,New Brunswick,NJ,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
39,University of Rochester,Rochester,NY,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
43,Purdue University,West Lafayette,IN,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증 - 세션 내 라이브 확인 안함,"높음(학습데이터 기반, 라이브 미검증)"
